clip,snr,vad_acc,offline_vdr,offline_rpa,offline_rca,offline_gross_err,offline_median_cents,realtime_vdr,realtime_rpa,realtime_rca,realtime_gross_err,realtime_median_cents
0,-5 dB,0.944,0.44191919191919193,0.96,0.96,0.04,19.783140182495117,0.40404040404040403,0.95,0.95,0.05,19.765491485595703
1,-5 dB,0.896,0.16331658291457288,0.0,0.0,1.0,119.36493682861328,0.1507537688442211,0.016666666666666666,0.016666666666666666,0.9833333333333333,119.36493682861328
2,-5 dB,0.998,0.8985507246376812,0.9650537634408602,0.9650537634408602,0.03494623655913978,19.77570915222168,0.8695652173913043,0.9666666666666667,0.9666666666666667,0.03333333333333333,19.737741470336914
3,-5 dB,0.946,0.4271356783919598,0.9411764705882353,0.9411764705882353,0.058823529411764705,19.570362091064453,0.41959798994974873,0.9221556886227545,0.9221556886227545,0.07784431137724551,19.573440551757812
4,-5 dB,0.966,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
5,-5 dB,0.984,0.49174917491749176,0.9664429530201343,0.9664429530201343,0.03355704697986577,19.567285537719727,0.5445544554455446,0.9515151515151515,0.9515151515151515,0.048484848484848485,19.567285537719727
6,-5 dB,0.536,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
7,-5 dB,0.548,0.07194244604316546,0.85,0.85,0.15,20.169536590576172,0.07194244604316546,0.85,0.85,0.15,19.925334930419922
8,-5 dB,0.956,0.8879781420765027,0.916923076923077,0.916923076923077,0.08307692307692308,19.942686080932617,0.8633879781420765,0.8955696202531646,0.8955696202531646,0.10443037974683544,19.942686080932617
9,-5 dB,0.924,0.4580335731414868,0.9685863874345549,0.9685863874345549,0.031413612565445025,19.823945999145508,0.4628297362110312,0.917098445595855,0.917098445595855,0.08290155440414508,19.823945999145508
10,-5 dB,0.752,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
11,-5 dB,0.698,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
12,-5 dB,0.64,0.16751269035532995,0.9848484848484849,0.9848484848484849,0.015151515151515152,19.573440551757812,0.16243654822335024,0.984375,0.984375,0.015625,19.74784278869629
13,-5 dB,0.972,0.5767045454545454,0.9458128078817734,0.9458128078817734,0.054187192118226604,19.952945709228516,0.53125,0.9251336898395722,0.9251336898395722,0.0748663101604278,19.952945709228516
14,-5 dB,0.144,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan
15,-5 dB,0.932,0.655860349127182,0.9885931558935361,0.9885931558935361,0.011406844106463879,19.485427856445312,0.6483790523690773,0.9730769230769231,0.9730769230769231,0.026923076923076925,19.573440551757812
16,-5 dB,0.974,0.8780487804878049,0.9861111111111112,0.9861111111111112,0.013888888888888888,19.303794860839844,0.8634146341463415,0.9745762711864406,0.9745762711864406,0.025423728813559324,19.40767478942871
17,-5 dB,0.974,0.8698224852071006,0.9897959183673469,0.9897959183673469,0.01020408163265306,19.80357551574707,0.8224852071005917,0.9784172661870504,0.9784172661870504,0.02158273381294964,19.836769104003906
